Question;Option A;Option B;Option C;Option D;Correct Answer
"What PromQL expression calculates the rate of HTTP requests over the last 1 minute?";"rate(http_requests_total[1m])";"increase(http_requests_total[1m])";"sum(http_requests_total[1m])";"avg(http_requests_total[1m])";"1"
"How do you filter metrics by the label 'job' with the value 'api-server'?";"http_requests_total{job=""api-server""}";"http_requests_total[job=""api-server""]";"http_requests_total(job=""api-server"")";"http_requests_total@job=""api-server""";"1"
"Which PromQL expression calculates  is the correct way to apply a simple rate function?";"rate(metric_name)";"rate(metric_name[5m])";"rate(metric_name) by (instance)";"rate[5m](metric_name)";"2"
"Which PromQL expression filters metrics to those where the label 'status' is not equal to '200'?";"http_requests_total{status!=""200""}";"http_requests_total{status<>200}";"http_requests_total(status!=""200"")";"http_requests_total{status!200}";"1"
"How do you select the last value of a time series in PromQL?";"last_over_time(metric_name[5m])";"max(metric_name)";"metric_name";"metric_name[5m]";"3"
"How do you calculate the average CPU usage per instance over the last 5 minutes?";"avg(rate(node_cpu_seconds_total[5m])) by (instance)";"sum(rate(node_cpu_seconds_total[5m])) by (instance)";"max(rate(node_cpu_seconds_total[5m])) by (instance)";"min(rate(node_cpu_seconds_total[5m])) by (instance)";"1"
"Which PromQL expression calculates the increase in HTTP requests over the last 1 hour?";"increase(http_requests_total[1h])";"rate(http_requests_total[1h])";"sum(http_requests_total[1h])";"delta(http_requests_total[1h])";"1"
"How do you combine two metrics using the sum operator?";"metric1 + metric2";"sum(metric1, metric2)";"combine(metric1, metric2)";"add(metric1, metric2)";"1"
"Which function would you use to get the 95th percentile of response times?";"histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]))";"quantile(0.95, rate(http_request_duration_seconds_bucket[5m]))";"percentile(0.95, rate(http_request_duration_seconds_bucket[5m]))";"topk(0.95, rate(http_request_duration_seconds_bucket[5m]))";"1"
"What is the correct way to calculate the sum of values grouped by 'job' and 'instance'?";"sum(metric_name) by (job, instance)";"sum(metric_name) by job, instance";"sum(metric_name) job instance";"sum(metric_name) over (job, instance)";"1"
"Which expression calculates the difference between the maximum and minimum values of a metric over the last 10 minutes?";"max_over_time(metric_name[10m]) - min_over_time(metric_name[10m])";"delta(metric_name[10m])";"range(metric_name[10m])";"increase(metric_name[10m])";"1"
"How do you filter metrics where the 'environment' label is either 'prod' or 'staging'?";"metric_name{environment=~""prod|staging""}";"metric_name{environment=""prod|staging""}";"metric_name{environment!~""prod|staging""}";"metric_name{environment==""prod|staging""}";"1"
"What function do you use to calculate the number of time series in a metric?";"count(metric_name)";"sum(metric_name)";"avg(metric_name)";"rate(metric_name)";"1"
"Which nested query calculates the average CPU usage for instances with more than 2 cores?";"avg by (instance) (sum by (instance, cpu) (rate(node_cpu_seconds_total[5m]))) > 2";"avg by (instance) (rate(node_cpu_seconds_total[5m])) > 2";"sum by (instance) (avg by (cpu) (rate(node_cpu_seconds_total[5m]))) > 2";"sum by (instance) (rate(node_cpu_seconds_total[5m])) / count by (instance) (node_cpu_seconds_total) > 2";"1"
"How do you calculate the ratio of failed HTTP requests to total HTTP requests over the last 5 minutes?";"sum(rate(http_requests_total{status=~""5..""}[5m])) / sum(rate(http_requests_total[5m]))";"sum(rate(http_requests_total{status=~""5..""}[5m])) and sum(rate(http_requests_total[5m]))";"rate(http_requests_total{status=~""5..""}[5m]) / rate(http_requests_total[5m])";"avg(rate(http_requests_total{status=~""5..""}[5m])) / avg(rate(http_requests_total[5m]))";"1"
"Which query optimizes the calculation of the 99th percentile of request durations in a high-cardinality environment?";"histogram_quantile(0.99, sum(rate(http_request_duration_seconds_bucket[5m])) by (le))";"histogram_quantile(0.99, avg(rate(http_request_duration_seconds_bucket[5m])) by (le))";"histogram_quantile(0.99, rate(http_request_duration_seconds_bucket[5m]))";"histogram_quantile(0.99, max(rate(http_request_duration_seconds_bucket[5m])) by (le))";"1"
"How do you efficiently compute the average memory usage per namespace, excluding the 'kube-system' namespace?";"avg_over_time(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m]) by (namespace)";"avg_over_time(node_memory_MemTotal_bytes[5m]) by (namespace) != ""kube-system""";"avg(rate(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m])) by (namespace)";"avg(node_memory_MemTotal_bytes{namespace!=""kube-system""}) by (namespace)";"1"
"Which PromQL function calculates the average value of a time series over a specified time range?";"avg_over_time()";"sum()";"max()";"count()";"3"
"Which function would you use to sum the values of a time series across all instances?";"avg()";"sum()";"max()";"count()";"2"